7077	1737	14373	14	83.59.214.102
4018	488	3138	21	80.36.40.14
3197	1083	7658	12	14.red-80-36-40.staticip.rima-tde.net
2078	568	4061	26	62.57.106.24
1789	1290	13600	19	gwauna.smsarena.net
1008	29	132	2	83.59.214.33
590	218	2675	8	62.57.29.63
519	54	208	1	83.58.46.12
515	260	613	1	88.3.109.183
493	479	1470	1	64.252.251.64
485	483	1657	2	201.236.137.183
418	418	1367	1	80.37.192.198
383	379	1537	1	190.24.72.252
382	361	1459	1	87.218.174.164
362	326	1207	1	189.181.129.169
307	304	891	0	200.5.72.68
274	272	1163	1	190.160.202.140
270	266	1088	1	85.136.237.90
261	236	912	1	200.44.213.18
250	250	950	1	217.130.123.220
244	242	979	1	83.42.36.161
243	243	928	1	kaimatara.idm.upv.es
238	231	1621	1	216.red-88-24-51.staticip.rima-tde.net
236	236	931	1	201.244.103.169
232	140	2085	4	201.230.195.151
228	228	978	1	200.121.217.213
226	226	1106	1	dsl-201-120-150-246.prod-empresarial.com.mx
184	182	976	1	84.77.135.212
179	179	960	1	r201-217-164-163.dialup.adsl.anteldata.net.uy
176	176	832	1	189.146.83.162
171	171	833	1	201.240.19.207
168	138	333	1	86.64.110.105
164	164	1103	2	88.2.200.253
162	65	686	3	141.red-88-14-247.dynamicip.rima-tde.net
162	13	50	2	150.214.49.142
150	150	697	1	200.121.171.153
148	3	9	1	84.77.145.80
145	141	742	1	62.87.51.51
144	60	284	1	87.221.50.192
143	143	704	1	80.32.0.72
139	86	961	3	89.7.56.200
122	9	40	1	81.35.235.192
119	42	124	1	88.3.133.81
114	114	1050	1	83.52.99.67
112	64	169	1	190.30.0.128
112	36	121	1	83.50.73.109
107	5	18	1	83.45.253.118
104	53	1209	3	190.7.62.202
103	49	874	3	83.41.111.189
99	99	665	1	190.64.4.32
96	1	15	0	85.50.75.37
95	95	1358	2	client-201.240.240.149.speedy.net.pe
91	33	446	1	87.219.216.235
89	42	614	3	36.red-80-58-205.staticip.rima-tde.net
87	5	19	1	80.58.205.35
86	83	745	1	189.140.196.95
86	86	1421	3	62.57.29.63.dyn.user.ono.com
86	69	979	2	static-200-56-7-89.ipcom.comunitel.net
85	20	87	2	88.24.112.19
84	75	631	1	84.122.223.65
82	7	22	1	84.77.159.59
81	5	17	1	190.49.160.182
77	77	182	27	crawl-66-249-65-169.googlebot.com
76	69	1112	1	1.red-88-8-83.dynamicip.rima-tde.net
76	74	724	1	84.9.48.74
74	73	622	1	189.143.50.151
73	63	1020	1	40.red-80-58-205.staticip.rima-tde.net
73	53	684	1	87.218.75.81
72	47	783	1	201.216.184.199
71	69	997	2	85.54.158.14
71	41	452	1	85.58.157.17
70	48	738	1	190.66.180.231
70	55	1178	6	72.14.194.33
69	36	119	1	80.26.10.229
68	66	651	1	81.35.56.74
68	40	552	2	84.126.75.108
67	63	1014	2	190.73.115.57
67	22	438	2	83.36.146.118
66	55	1080	2	84.121.90.87
65	47	598	1	80.33.90.203
64	51	680	1	81.203.41.13
63	25	570	2	80.102.171.112
62	49	677	1	83.40.156.252
62	51	679	1	84.120.30.99
61	59	799	1	129-15-16-190.fibertel.com.ar
61	50	676	1	200.5.72.71
61	50	678	1	201.230.183.152
61	50	672	1	dynamic-ip-cr200118212156.cable.net.co
60	10	40	1	212.97.160.135
60	9	172	1	89.29.137.232
59	51	916	1	85.59.98.149
58	51	680	1	87.219.192.157
58	6	19	1	88.25.69.14
57	53	605	1	89.128.27.112
57	53	693	1	89.129.38.4
57	53	643	1	96.red-217-125-193.dynamicip.rima-tde.net
56	7	18	1	189.136.112.36
56	52	659	1	189.142.61.164
56	54	878	2	237.pool85-48-192.static.orange.es
55	46	832	1	189.167.183.151
55	49	638	1	cm162144.red.mundo-r.com
54	6	19	1	213.60.30.38
54	52	649	1	62.57.24.44.static.user.ono.com
54	48	598	1	81.184.152.45
54	51	682	1	83.38.186.19
54	50	601	1	87.217.24.171
53	53	679	1	110.red-88-18-201.staticip.rima-tde.net
53	53	661	1	83.56.166.23
53	44	706	1	87.219.80.106
52	52	927	2	100.red-80-58-205.staticip.rima-tde.net
52	44	615	1	200.8.14.67
52	50	676	1	62.42.146.220
52	50	603	1	83.61.97.77
52	37	582	1	88.8.253.206
51	49	600	1	201.240.25.1
51	3	7	1	80.58.205.98
51	49	600	1	84.122.223.63
51	49	600	1	89.7.155.147
50	48	687	1	81.172.45.85
50	9	39	1	83.41.215.11
50	48	646	1	83.46.100.4
50	2	5	1	84.77.144.78
50	44	651	1	85.59.117.98
50	48	592	1	88.24.215.228
50	50	658	1	cm45185.red.mundo-r.com
50	34	938	1	ev1s-209-62-1-34.ev1servers.net
49	1	2	1	201.229.227.189
49	47	734	1	201.254.63.224
49	49	490	1	77.208.32.189
49	47	592	1	82.144.3.245
49	47	592	1	87.217.169.56
49	45	608	0	88.26.98.190
49	49	737	1	client-190.40.34.199.speedy.net.pe
48	46	617	1	59-21-231-201.fibertel.com.ar
47	44	844	2	207.248.40.2
47	45	575	1	81.9.164.224
46	44	589	1	190.40.164.87
46	36	578	1	200.87.240.159
46	44	574	1	81.38.234.208
46	44	583	1	83.50.80.217
46	36	578	1	88.24.240.110
46	46	900	2	pc-26-107-45-190.cm.vtr.net
45	34	831	3	189.165.70.226
45	43	574	1	190.38.160.51
45	45	517	1	196.red-83-61-237.staticip.rima-tde.net
45	43	608	1	201.141.54.205
45	43	574	1	213.97.9.243
45	43	567	1	80.25.193.141
45	45	841	1	eu100-228-46.clientes.euskaltel.es
44	44	800	1	190.22.46.155
44	34	344	0	190.56.19.227
44	2	5	1	213.156.52.106
44	2	5	1	213.98.146.33
44	42	567	1	83.42.2.84
44	38	560	1	85.58.139.146
44	35	495	1	89.129.191.241
43	39	601	1	200-55-116-218.dsl.prima.net.ar
43	2	5	1	213.201.90.162
43	2	5	1	217.216.158.69
43	36	529	1	62.red-88-2-133.staticip.rima-tde.net
43	2	5	1	80.34.137.28
43	2	5	1	83.35.118.142
43	35	577	1	83.43.95.76
43	41	575	1	89.128.12.141
42	9	38	1	150.244.125.45
42	42	897	2	51.red-80-58-205.staticip.rima-tde.net
42	9	38	1	80.27.37.175
42	9	37	1	83.33.3.25
42	42	601	1	84.79.93.214
42	2	5	1	85.48.107.239
41	39	600	1	132.red-83-37-135.dynamicip.rima-tde.net
41	39	617	1	200.105.149.75
41	34	574	1	201.235.128.23
41	37	555	1	208.64.184.194
41	9	38	1	62.97.65.250
41	22	448	8	66.249.65.169
41	35	576	1	80.39.206.87
41	35	576	1	80.67.112.215
41	9	39	1	83.213.146.2
41	37	543	1	83.53.253.72
41	37	536	1	85.60.55.109
41	39	612	1	88.14.110.164
40	35	583	1	190.56.11.241
40	9	38	1	213.37.96.86
40	35	535	1	213.60.45.185
40	38	599	1	227.pool85-55-6.dynamic.orange.es
40	40	633	1	243.red-80-34-157.staticip.rima-tde.net
40	38	599	1	62.42.83.129.dyn.user.ono.com
40	37	558	1	82.159.182.168
40	9	38	1	83.37.137.151
40	5	17	1	88.5.207.68
40	38	599	1	dsl-189-136-149-132.prod-infinitum.com.mx
40	38	666	1	dsl-189-181-127-62.prod-infinitum.com.mx
39	35	551	1	189.158.220.175
39	9	38	1	189.161.25.193
39	37	543	1	190.24.43.54
39	37	543	1	195.154.92.110
39	37	543	1	212.21.255.86
39	9	38	1	217.217.38.247
39	35	589	1	57.red-88-1-247.dynamicip.rima-tde.net
39	9	38	1	62.57.25.220
39	37	545	1	80.26.49.146
39	29	510	1	83.55.169.116
39	38	578	1	83.57.202.67
39	9	38	1	84.77.164.253
39	37	543	1	85.50.148.68
39	30	441	1	88.22.72.196
38	35	498	1	103.red-88-17-136.dynamicip.rima-tde.net
38	35	496	1	144.pool85-50-151.dynamic.orange.es
38	9	38	1	189.144.241.73
38	36	537	1	190.31.213.69
38	37	542	1	190.50.138.139
38	36	663	1	252.red-83-38-87.dynamicip.rima-tde.net
38	38	474	1	62.43.191.56
38	37	542	1	64.76.30.227
38	36	597	1	68.pool85-52-192.static.orange.es
38	36	537	1	80.103.194.190
38	37	542	1	81.35.233.199
38	37	542	1	81.37.160.153
38	37	542	1	83.49.51.178
38	35	576	1	83.53.27.28
38	35	534	1	83.59.38.201
38	36	537	1	85.84.47.81
38	9	38	1	88.5.93.107
38	9	38	1	89.6.80.148
37	37	496	1	190-39-146-230.dyn.dsl.cantv.net
37	29	441	1	190.136.240.1
37	29	441	1	190.142.113.66
37	9	38	1	190.40.126.55
37	37	542	1	201.231.78.200
37	35	534	1	80.32.24.72
37	2	4	1	81.34.108.192
37	35	534	1	83.165.200.67
37	35	534	1	83.54.134.207
37	35	534	1	83.61.224.217
37	9	38	1	84.123.115.219
37	9	38	1	85.48.131.11
37	36	660	1	85.55.150.212
37	5	18	1	86.151.34.10
37	35	534	1	88.0.250.194
37	35	534	1	88.11.189.99
37	9	38	1	89.129.170.157
37	37	592	1	dsl-189-167-73-191.prod-infinitum.com.mx
37	35	554	1	gc-na28.alcatel.fr
36	36	109	0	222.red-83-44-195.dynamicip.rima-tde.net
36	36	486	1	39.red-83-34-113.dynamicip.rima-tde.net
36	34	573	1	83.42.115.40
36	9	37	1	87.218.154.82
36	36	640	1	host246.200-117-223.telecom.net.ar
35	35	495	1	180.red-83-49-106.dynamicip.rima-tde.net
35	31	517	1	190.136.170.154
35	35	495	1	205.pool85-53-171.dynamic.orange.es
35	33	546	1	217.116.24.2
35	5	16	1	217.126.97.157
35	35	495	1	238.29.221.87.dynamic.jazztel.es
35	35	495	1	42.red-88-5-123.staticip.rima-tde.net
35	35	495	1	72.red-81-39-145.dynamicip.rima-tde.net
35	35	495	1	76.red-83-42-69.dynamicip.rima-tde.net
35	31	442	1	83.60.216.23
35	31	496	1	84.77.30.95
35	35	534	1	85.49.9.15
35	35	495	1	89.128.69.181
35	35	495	1	91.red-88-27-84.staticip.rima-tde.net
35	35	495	1	95.pool85-59-209.dynamic.orange.es
34	34	484	1	147.red-83-54-246.dynamicip.rima-tde.net
34	33	547	1	200.31.2.195
34	34	494	1	241.red-88-14-131.dynamicip.rima-tde.net
34	34	494	1	6.red-83-54-65.dynamicip.rima-tde.net
34	34	494	1	81.202.127.184.dyn.user.ono.com
34	32	543	1	81.38.229.227
34	34	494	1	81.red-88-27-135.staticip.rima-tde.net
